"tracking_record_id","date_time","user_gui","campaign_id","product_gui","company","link","tracking_id","meio","ip","browser","session_id","referer","cookie_id"
5922709,"2012-01-01 00:04:09","","","/catalog/products.php?cat=6&gclid=CM6U1KLDra0CFUhrfAodhFdTnQ","ljv","http://www.loja21.pt/catalog/products.php?cat=6&gclid=CM6U1KLDra0CFUhrfAodhFdTnQ","ASCII","site","85.246.54.57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1","cs1igit0u5ap1rq4oqsud63nu5","http://www.loja21.pt/catalog/products.php?cat=6&gclid=CM6U1KLDra0CFUhrfAodhFdTnQ","736f45e0-4271-4efc-9b58-3450ed0d000c"
5922710,"2012-01-01 00:06:06","","","Spy","ljv","http://www.loja21.pt/gama-spy.html","ASCII","site","85.246.54.57","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0.1) Gecko/20100101 Firefox/8.0.1","cs1igit0u5ap1rq4oqsud63nu5","http://www.loja21.pt/gama-spy.html","736f45e0-4271-4efc-9b58-3450ed0d000c"
5922711,"2012-01-01 00:08:34","","","display.product*ljv_0457*Esmagador de Latas - Can Crusher","ljv","http://www.loja21.pt/green-21/esmagador-de-latas-can-crusher.html","ASCII","site","188.37.196.205","Mozilla/5.0 (Windows NT 5.1; rv:8.0) Gecko/20100101 Firefox/8.0","h7eai0bifok668t767mvj2jki4","http://www.loja21.pt/green-21/esmagador-de-latas-can-crusher.html","74d4145d-cf6f-4b43-b9e6-4fbc35ec41cc"
5922712,"2012-01-01 00:08:49","","","/?gclid=CJfSianEra0CFZMhtAodWC3Vug","ljv","http://www.loja21.pt/?gclid=CJfSianEra0CFZMhtAodWC3Vug","ASCII","site","89.154.26.11","Mozilla/5.0 (Windows; U; Windows NT 6.0; pt-PT; rv:1.9.1.19) Gecko/20110420 Firefox/3.5.19 ( .NET CLR 3.5.30729; .NET4.0C) FBSMTWB","51gi4j1us7lb0a9e1cbsvk13a5","http://www.loja21.pt/?gclid=CJfSianEra0CFZMhtAodWC3Vug","b60c0896-35fd-495d-958b-9ebf25791305"
5922713,"2012-01-01 00:18:34","","","/?gclid=CKrBwsDGra0CFVQLfAod0AOzmA","ljv","http://www.loja21.pt/?gclid=CKrBwsDGra0CFVQLfAod0AOzmA","ASCII","site","79.168.232.27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7","49ebv4pc90gp0b6ebje1npl610","http://www.loja21.pt/?gclid=CKrBwsDGra0CFVQLfAod0AOzmA","cd81dcbd-efed-4bef-9a5e-724ceb65e886"
5922714,"2012-01-01 00:19:14","","","/spy_pen/prod840.html?gclid=COvYlNDGra0CFYQLfAodnWyeoQ","ljv","http://www.loja21.pt/spy_pen/prod840.html?gclid=COvYlNDGra0CFYQLfAodnWyeoQ","ASCII","site","2.83.19.222","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; GTB7.2; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)","3a61a2dpb2bobbs92levc43j66","http://www.loja21.pt/spy_pen/prod840.html?gclid=COvYlNDGra0CFYQLfAodnWyeoQ","036b5c3e-0334-4f2a-81a2-c24e0dfa8148"
5922715,"2012-01-01 00:19:16","efad6cdd-2713-4737-bb70-cc5182ea7cbf","","Tecnologia","ljv","http://magento.loja21.pt/tecnologia.html","ASCII","site","79.168.232.27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7","49ebv4pc90gp0b6ebje1npl610","http://magento.loja21.pt/tecnologia.html","cd81dcbd-efed-4bef-9a5e-724ceb65e886"
5922716,"2012-01-01 00:20:30","62E735A8-4A61-4129-9714-4A40FC1C5C15","eol*vtp28122011","open","EOL","","ASCII","dmzr","85.247.24.20","Mozilla/5.0 (Windows NT 6.0; rv:8.0) Gecko/20100101 Firefox/8.0","p5o0r6jek8rbaisnan2qoqh9v7","http://36ohk6dgmcd1n-c.c.yom.mail.yahoo.net/om/api/1.0/openmail.app.invoke/36ohk6dgmcd1n/9/1.0.35/uk/en-GB/controller.html","dd9fca41-f51d-4e22-ada3-00c964bfcf88"
5922717,"2012-01-01 00:21:32","62E735A8-4A61-4129-9714-4A40FC1C5C15","eol*dpt23122011","open","EOL","","ASCII","dmzr","85.247.24.20","Mozilla/5.0 (Windows NT 6.0; rv:8.0) Gecko/20100101 Firefox/8.0","p5o0r6jek8rbaisnan2qoqh9v7","http://36ohk6dgmcd1n-c.c.yom.mail.yahoo.net/om/api/1.0/openmail.app.invoke/36ohk6dgmcd1n/9/1.0.35/uk/en-GB/controller.html","dd9fca41-f51d-4e22-ada3-00c964bfcf88"
5922718,"2012-01-01 00:21:42","efad6cdd-2713-4737-bb70-cc5182ea7cbf","","display.category*homepage","ljv","http://www.loja21.pt/","ASCII","site","79.168.232.27","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7","49ebv4pc90gp0b6ebje1npl610","http://www.loja21.pt/","cd81dcbd-efed-4bef-9a5e-724ceb65e886"
